İL KAYIT NO,İLÇE KAYIT NO,BELDE/ KÖY KAYIT NO,MAHALLE KAYIT NO,İL ADI,İLÇE ADI,BELEDİYE ADI,MAHALLE ADI,MEDENİ DURUM,TOPLAM,ERKEK,KADIN,yıl,BELDE/KÖY ADI
6,1130,2429,1506,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,HACI BAYRAM,EŞİ ÖLDÜ,86.0,16.0,70.0,2022,
6,1130,2429,1509,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GİCİK,HİÇ EVLENMEDİ,44.0,29.0,15.0,2022,
6,1130,2429,1509,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GİCİK,EVLİ,173.0,93.0,80.0,2022,
6,1130,2429,1509,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GİCİK,BOŞANDI,22.0,,,2022,
6,1130,2429,1509,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,GİCİK,EŞİ ÖLDÜ,43.0,,,2022,
6,1231,2431,1513,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AKPINAR,HİÇ EVLENMEDİ,2743.0,1430.0,1313.0,2022,
6,1231,2431,1513,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AKPINAR,EVLİ,6501.0,3198.0,3303.0,2022,
6,1231,2431,1513,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AKPINAR,BOŞANDI,669.0,248.0,421.0,2022,
6,1231,2431,1513,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AKPINAR,EŞİ ÖLDÜ,376.0,41.0,335.0,2022,
6,1231,2431,1514,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ANITTEPE,HİÇ EVLENMEDİ,1994.0,733.0,1261.0,2022,
6,1231,2431,1514,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ANITTEPE,EVLİ,1904.0,878.0,1026.0,2022,
6,1231,2431,1514,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ANITTEPE,BOŞANDI,331.0,114.0,217.0,2022,
6,1231,2431,1514,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ANITTEPE,EŞİ ÖLDÜ,255.0,24.0,231.0,2022,
6,1231,2431,1515,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ARKA TOPRAKLIK,HİÇ EVLENMEDİ,723.0,433.0,290.0,2022,
6,1231,2431,1515,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ARKA TOPRAKLIK,EVLİ,984.0,491.0,493.0,2022,
6,1231,2431,1515,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ARKA TOPRAKLIK,BOŞANDI,180.0,77.0,103.0,2022,
6,1231,2431,1515,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ARKA TOPRAKLIK,EŞİ ÖLDÜ,154.0,,,2022,
6,1231,2431,1516,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,DUMLUPINAR,HİÇ EVLENMEDİ,1655.0,886.0,769.0,2022,
6,1231,2431,1516,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,DUMLUPINAR,EVLİ,6022.0,3014.0,3008.0,2022,
6,1231,2431,1516,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,DUMLUPINAR,BOŞANDI,189.0,85.0,104.0,2022,
6,1231,2431,1516,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,DUMLUPINAR,EŞİ ÖLDÜ,115.0,17.0,98.0,2022,
6,1231,2431,1517,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI İMRAHOR,HİÇ EVLENMEDİ,37.0,,,2022,
6,1231,2431,1517,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI İMRAHOR,EVLİ,85.0,45.0,40.0,2022,
6,1231,2431,1517,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI İMRAHOR,BOŞANDI,,,,2022,
6,1231,2431,1517,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI İMRAHOR,EŞİ ÖLDÜ,,,,2022,
6,1231,2431,1518,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI ÖVEÇLER,HİÇ EVLENMEDİ,1985.0,1079.0,906.0,2022,
6,1231,2431,1518,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI ÖVEÇLER,EVLİ,4028.0,2039.0,1989.0,2022,
6,1231,2431,1518,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI ÖVEÇLER,BOŞANDI,569.0,226.0,343.0,2022,
6,1231,2431,1518,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞAĞI ÖVEÇLER,EŞİ ÖLDÜ,314.0,35.0,279.0,2022,
6,1231,2431,1519,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞIKPAŞA,HİÇ EVLENMEDİ,2278.0,1161.0,1117.0,2022,
6,1231,2431,1519,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞIKPAŞA,EVLİ,4294.0,2102.0,2192.0,2022,
6,1231,2431,1519,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞIKPAŞA,BOŞANDI,584.0,188.0,396.0,2022,
6,1231,2431,1519,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AŞIKPAŞA,EŞİ ÖLDÜ,337.0,38.0,299.0,2022,
6,1231,2431,1520,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ATA,HİÇ EVLENMEDİ,2675.0,1351.0,1324.0,2022,
6,1231,2431,1520,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ATA,EVLİ,6040.0,2978.0,3062.0,2022,
6,1231,2431,1520,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ATA,BOŞANDI,567.0,184.0,383.0,2022,
6,1231,2431,1520,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,ATA,EŞİ ÖLDÜ,451.0,56.0,395.0,2022,
6,1231,2431,1521,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYDINLAR,HİÇ EVLENMEDİ,1534.0,814.0,720.0,2022,
