No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
4_14_41,,"39.93094621524214, 32.87659681094246",6045/13,"Fakülteler, Kutlugün Cd. No:6, 06059 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.93094621524214,32.87659681094246,FAKÜLTELER,4
4_14_42,,"39.930758951116644, 32.876788508729724",6045/14,"Fakülteler, Kutlugün Cd. No:8, 06059 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.930758951116644,32.876788508729724,FAKÜLTELER,4
4_14_43,,"39.930685603765205, 32.876945238398285",6045/15,"Fakülteler, Kutlugün Cd. No:10, 06059 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.930685603765205,32.876945238398285,FAKÜLTELER,4
4_14_44,,"39.930470863474014, 32.87665713238968",6045/16,"Fakülteler, Yazgan Sk. No:4, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.930470863474014,32.87665713238968,FAKÜLTELER,4
4_14_45,,"39.93035747813988, 32.87655512257339",6045/17,"Fakülteler, Yazgan Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Dönem yapısı?,39.93035747813988,32.87655512257339,FAKÜLTELER,4
4_14_46,,"39.93029783133815, 32.876573898036675",6045/32,"Fakülteler, Yazgan Sk. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,6045/18 ve 6045/19 parselleri birleştirilmiş 6045/32 olup tek yapı inşa edilmiş.,39.93029783133815,32.876573898036675,FAKÜLTELER,4
4_14_47,,"39.93017031041531, 32.87635127468581",6045/20,"Fakülteler, Yazgan Sk. No:12, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.93017031041531,32.87635127468581,FAKÜLTELER,4
4_14_48,,"39.930057186817166, 32.87629494829583",6045/21,"Fakülteler, Yazgan Sk. No:14, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.930057186817166,32.87629494829583,FAKÜLTELER,4
4_14_49,,"39.929902927054016, 32.87592480345042",6045/22,"Fakülteler, Yazgan Sk. No:16, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.929902927054016,32.87592480345042,FAKÜLTELER,4
4_14_50,,"39.929721928496484, 32.87577459975112",6045/23,"Fakülteler, Yazgan Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.929721928496484,32.87577459975112,FAKÜLTELER,4
4_14_51,,"39.92972809890958, 32.87576387091494",6045/24,"Fakülteler, Yazgan Sk. No:20, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,39.92972809890958,32.87576387091494,FAKÜLTELER,4
4_14_52,,"39.92960518642539, 32.87550841819673",6045/25,"Fakülteler, Yazgan Sk. No:22, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,39.92960518642539,32.87550841819673,FAKÜLTELER,4
4_14_53,Yeni Dünya Vakfı Cebeci Yükseköğrenim Kız Öğrenci Yurdu,"39.92951826229081, 32.87545890701189",6045/26,"Fakülteler, Yazgan Sk. No:24, 06590 Çankaya/Ankara",Yurt,6.0,Değil,,,,,,39.92951826229081,32.87545890701189,FAKÜLTELER,4
4_14_54,,"39.92947130322966, 32.87528431493909",6045/27,"Fakülteler, Yazgan Sk. No:26, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,39.92947130322966,32.87528431493909,FAKÜLTELER,4
4_14_55,,"39.92944872109306, 32.87531394490657",6045/28,"Fakülteler, Yazgan Sk. No:28, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Remarkable,39.92944872109306,32.87531394490657,FAKÜLTELER,4
